SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,24,023,Maryland,Garrett County,4,28588,14258,14330,1305,689,616,2465,1223,1242,1288,692,596,2030,1083,947,24179,12010,12169,23530,11654,11876,9351,4822,4529,6346,3206,3140,8215,4070,4145,6939,3295,3644,1305,689,616,1388,683,705,1390,699,691,1550,844,706,1455,772,683,1556,793,763,1639,845,794,1501,753,748,1650,815,835,1603,797,806,1995,963,1032,2127,1089,1038,2490,1221,1269,2191,1082,1109,1812,883,929,1346,653,693,841,387,454,749,290,459,47.8,46.5,49.1
050,24,023,Maryland,Garrett County,5,28423,14196,14227,1210,639,571,2492,1237,1255,1241,667,574,1968,1052,916,24133,12016,12117,23480,11653,11827,9270,4802,4468,6329,3218,3111,8020,3974,4046,7163,3409,3754,1210,639,571,1392,686,706,1368,686,682,1546,836,710,1395,748,647,1536,792,744,1699,865,834,1468,749,719,1626,812,814,1559,800,759,1953,907,1046,2066,1062,1004,2442,1205,1237,2287,1126,1161,1822,887,935,1380,666,714,902,419,483,772,311,461,48.1,46.7,49.5
050,24,025,Maryland,Harford County,1,260922,128268,132654,14488,7416,7072,30241,15495,14746,14219,7347,6872,20073,10381,9692,209156,101700,107456,201974,98010,103964,96590,48535,48055,65846,32657,33189,73169,35926,37243,42886,19046,23840,14488,7416,7072,16114,8249,7865,17675,9096,8579,16237,8519,7718,14507,7359,7148,15517,7791,7726,16500,8196,8304,17874,8803,9071,15955,7867,8088,16604,8156,8448,18352,8975,9377,20161,9959,10202,18052,8836,9216,14361,6800,7561,11735,5466,6269,7820,3430,4390,4631,1929,2702,4339,1421,2918,40.5,39.2,41.7
050,24,025,Maryland,Harford County,2,261230,128463,132767,14438,7389,7049,30260,15485,14775,14228,7364,6864,20086,10398,9688,209461,101910,107551,202304,98225,104079,96837,48679,48158,66087,32778,33309,72928,35829,37099,43203,19220,23983,14438,7389,7049,16177,8273,7904,17647,9073,8574,16235,8516,7719,14515,7385,7130,15550,7810,7740,16506,8188,8318,17924,8850,9074,16107,7930,8177,16433,8094,8339,18282,8946,9336,20079,9921,10158,18134,8868,9266,14479,6863,7616,11841,5509,6332,7843,3454,4389,4694,1959,2735,4346,1435,2911,40.5,39.3,41.7
050,24,025,Maryland,Harford County,3,263302,129382,133920,14340,7360,6980,30302,15424,14878,14310,7404,6906,20220,10511,9709,211446,102828,108618,204350,99194,105156,98469,49584,48885,67578,33560,34018,72111,35333,36778,44441,19790,24651,14340,7360,6980,16394,8350,8044,17547,8965,8582,16248,8493,7755,14643,7531,7112,15643,7921,7722,16846,8333,8513,18229,9034,9195,16860,8272,8588,15683,7751,7932,18189,8866,9323,19690,9686,10004,18549,9030,9519,14833,7030,7803,12374,5735,6639,8018,3549,4469,4911,2043,2868,4305,1433,2872,40.5,39.3,41.7
050,24,025,Maryland,Harford County,4,263815,129752,134063,14270,7339,6931,30165,15392,14773,14438,7492,6946,19944,10495,9449,212045,103235,108810,204942,99529,105413,98827,49872,48955,68127,33765,34362,70972,34804,36168,45899,20465,25434,14270,7339,6931,16477,8431,8046,17370,8841,8529,16239,8536,7703,14461,7571,6890,15401,7807,7594,16877,8298,8579,18384,9101,9283,17465,8559,8906,15531,7715,7816,17712,8665,9047,19111,9367,9744,18618,9057,9561,15190,7192,7998,12268,5679,6589,8922,3954,4968,5199,2181,3018,4320,1459,2861,40.7,39.4,41.9
050,24,025,Maryland,Harford County,5,264644,130096,134548,14054,7254,6800,29970,15301,14669,14570,7516,7054,19862,10440,9422,213320,103840,109480,206050,100025,106025,99323,50094,49229,68489,33951,34538,70013,34294,35719,47686,21340,26346,14054,7254,6800,16492,8440,8052,17076,8674,8402,16393,8574,7819,14441,7569,6872,15229,7724,7505,16896,8379,8517,18281,9015,9266,18083,8833,9250,15686,7756,7930,17238,8451,8787,18473,9049,9424,18616,9038,9578,15676,7494,8182,12515,5784,6731,9402,4184,5218,5634,2361,3273,4459,1517,2942,40.9,39.7,42.1
050,24,027,Maryland,Howard County,1,332316,163758,168558,18983,9808,9175,42267,21710,20557,19961,10226,9735,25883,13385,12498,261185,127152,134033,251105,122014,129091,129087,64210,64877,88164,43145,45019,90005,44237,45768,47053,21247,25806,18983,9808,9175,22571,11637,10934,24617,12619,11998,22663,11671,10992,18260,9394,8866,19116,9745,9371,20795,10148,10647,24391,11656,12735,23862,11596,12266,23234,11392,11842,23144,11203,11941,23611,11693,11918,20016,9949,10067,15666,7507,8159,12863,5977,6886,8720,3845,4875,5013,2146,2867,4791,1772,3019,39.0,38.1,39.8
050,24,027,Maryland,Howard County,2,332814,164011,168803,18892,9766,9126,42281,21707,20574,20001,10256,9745,25983,13430,12553,261726,127427,134299,251640,122282,129358,129341,64365,64976,88310,43246,45064,89928,44209,45719,47419,21397,26022,18892,9766,9126,22575,11636,10939,24659,12638,12021,22695,11679,11016,18336,9440,8896,19079,9742,9337,20841,10179,10662,24363,11645,12718,24027,11680,12347,23181,11371,11810,23121,11205,11916,23523,11632,11891,20103,10001,10102,15749,7534,8215,12952,6029,6923,8816,3879,4937,5088,2173,2915,4814,1782,3032,39.0,38.1,39.9
050,24,027,Maryland,Howard County,3,335328,165291,170037,18460,9534,8926,42086,21496,20590,20032,10280,9752,26740,13830,12910,264798,129113,135685,254750,123981,130769,130695,65208,65487,88947,43712,45235,89774,44172,45602,49289,22267,27022,18460,9534,8926,22592,11543,11049,24518,12567,11951,22814,11718,11096,18934,9778,9156,19089,9843,9246,20874,10249,10625,24268,11586,12682,24716,12034,12682,22885,11216,11669,23257,11360,11897,23180,11398,11782,20452,10198,10254,16151,7695,8456,13509,6319,7190,9270,4108,5162,5376,2270,3106,4983,1875,3108,39.3,38.3,40.1
